Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
HP,"HP Envy -Laptop PC, Intel Arc A370M Graphics, 12th Gen Intel Core i7-12700H, 16 GB -RAM, 512 GB SSD, 16” WQXGA Touchscreen, 100% sRGB, Windows 11 Home, HP Fast Charge, Camera -Cover (16-h0010nr, 2022)",16,2560 x 1600,Core i7,16.0,512 GB,Intel Arc Graphics A370M,Windows 11 Home,8.5,1429.99
MSI,"MSI GF75 Thin 17.3"" Gaming Laptop Core i7-10750H 16GB RAM 512GB SSD 144Hz GTX 1660 Ti 6GB - 10th Gen i7-10750H Hexa-core - NVIDIA GeForce GTX 1660 Ti 6GB - 144 Hz Refresh Rate - Up to 5 GHz CPU S",17.3,1920 x 1080,Core i7,16.0,512 GB,NVIDIA GeForce GTX 1660Ti,Windows 10,4.85,969.99
ASUS,"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6” OLED 4K UHD Touch Display, Intel Core i7-10870H, Windows 10 Pro, Celestial Blue with Microsoft 365 Family | 15-Month Subscription | PC/Mac Download",15.6,,Core i7 10870H,16.0,1 TB,NVIDIA GeForce RTX 3070,Windows 10 Pro,,1647.66
HP,"2022 HP High Performance Business Laptop - 14"" FHD IPS LCD - 11th Gen Intel i3-1115G4 - 20GB DDR4 - 1TB NVMe SSD - HD Webcam -WiFi and Bluetooth -Windows 10 Pro w/ 32GB USB Drive",14,1920x1080,Core i3 Family,20.0,1 TB,Intel UHD Graphics,Windows 10 Pro,7.0,963.9260148199606
MSI,"MSI GS66 Stealth 15.6"" FHD 240Hz 2.5ms Ultra Thin and Light Gaming Laptop Intel Core i7-11800H RTX3060 16GB 1TB NVMe SSD Win11 VR Ready - Black (11UE-662)",15.6,,Core i7,16.0,,NVIDIA GeForce RTX 3060,Windows 11 Home,6.82,999.99
Dell,"Dell Inspiron 15 5585 Laptop 15.6"" Anti-Glare LED Backlight Non-Touch Narrow Border IPS Display AMD Ryzen 7 3700U AMD Radeon RX 8 GB RAM 256 GB SSD",15.6,1920 x 1080,AMD Ryzen 7,8.0,,AMD Radeon RX 8,Windows 10 Home,5.9,388.0
Lenovo,"Lenovo ThinkBook 13s G4 IAP 21AR001WUS 13.3"" Notebook - 1920 x 1200 - Intel Core i5 12th Gen i5-1240P - 8 GB Total RAM - 256 GB SSD",13.3,1920 x 1200,Core i5,8.0,256 GB,Intel,Windows 11 Pro,4.2,829.54
Acer,"Acer TravelMate Vero V15-51 TMV15-51-57PP 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1155G7 Quad-core (4 Core) 2.50 GHz - 16 GB Total RAM - 512 GB SSD - Black",15.6,1920 x 1080,Core i5,16.0,512 GB,Intel Iris Xe Graphics,Windows 11 Pro,6.7,761.08
MSI,"MSI Summit E14 Flip EVO 14.0"" QHD+ Touch Ultra Thin 2-in-1 Business Laptop: Intel Core i5-1240P IRIS Xe 16GB LPDDR5 512GB NVMe SSD, 360° Flip, Thunderbolt 4, MSI Pen, Win 11 Pro: Ink Black A12MT-017",14,2560 x 1600,Core i5,16.0,512 GB,Intel Iris Xe Graphics,Windows 10,6.03,899.0
Lenovo,"2022 Newest LENOVO IdeaPad Flex 5i 2-in-1 Laptop, 14"" FHD Touchscreen, Intel Dual-Core i3-1135G4, 4GB DDR4 128GB NVMe SSD, Intel UHD Graphics, WiFi, HDMI, USB-C, Fingerprint, Blue, Win 11 Pro",14,1920 x 1080,Core i3 Family,4.0,128 GB,Intel UHD Graphics,Windows 11 Pro,3.3,963.9260148199606
MSI,"MSI Creator 17 Professional Laptop: 17.3"" UHD 120Hz 100% AdobeRGB Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3060, 16GB RAM, 512GB NVME SSD, Thunderbolt 4, Win10, Core Black (B11UE-471)",17.3,3840 x 2160,Core i7 Family,16.0,512 GB,NVIDIA GeForce RTX 3060,Windows 10 Home,5.4,1473.89
Lenovo,"Lenovo IdeaPad Gaming Chromebook - 2022 - Chromebook Gaming Laptop - Intel Iris XE Graphics - 16"" Display - 8GB Memory - 256GB Storage - Intel i5 12th Gen - Storm Grey",16,2560x1600,1.2GHz Cortex A8 Processor,8.0,256 GB,Intel UHD Graphics 620,Chrome OS,4.11,569.99
ASUS,"ASUS Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",14,1920x1080,Celeron N4020,4.0,128 GB,Intel UHD Graphics 600,Chrome OS,5.16,249.99
Acer,"Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 8GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P1Q5",14,1366x768,Pentium,8.0,128 GB,Intel UHD Graphics,Chrome OS,3.42,399.99
HP,"HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS™ - (11a-na0030nr, 2020 model, Indigo Blue)",11.6,1363 x 768,MediaTek MT8183,4.0,32 GB,MediaTek Integrated Graphics,Chrome OS,2.36,81.99
Core Innovations,Core Innovations 14.1” Laptop with Windows 10 Home in S Mode - Blue,14.1,1366x768,Celeron N3350,4.0,64 GB,Intel HD Graphics 500,Windows 10 Home,2.7,149.99
Toshiba,"2016 Generation Toshiba Satellite Fusion 15.6"" 2-in-1 Convertible Full HD IPS Touchscreen Laptop, Intel Core i7-6500U, 8GB RAM, 256GB SSD, HDMI, Backlit Keyboard, Webcam, Windows 10",15.6,1920x1080,Core i7 6500U,8.0,256 GB,Intel HD Graphics 520,Windows 10,5.2,399.0
Lenovo,"2022 Lenovo ThinkPad T14 Gen 3 14"" WUXGA IPS Laptop AMD Ryzen 7 Pro 6850U Radeon 680M Graphics 16GB DDR5 RAM 2TB NVMe SSD Fingerprint Reader Backlit Keyboard WiFi 6E Windows 10 Pro w/ RATZK 32GB USB",14,1920 x 1200,Ryzen 7,16.0,2 TB,AMD Radeon 680M Graphics,Windows 10 Pro,7.0,1699.0
Dell,"Dell Latitude 3000 3420 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB RAM - 256 GB SSD - Black",14,1920 x 1080,Core i5 Family,8.0,256 GB,Intel Iris Xe Graphics,Windows 10 Pro,3.35,1040.59
HP,HP Omen 16 Gaming Laptop I 16.1” Full HD IPS 144Hz 7ms I 11th Gen Intel 8-Core i7-11800H I 64GB DDR4 1TB SSD I Geforce RTX 3060 6GB I Thunderbolt Backlit Win11 + 32GB MicroSD Card,16.1,Full HD (1920 x 1080) IPS 144Hz 7ms,Core I7 11800H,64.0,1 TB,NVIDIA GeForce RTX 3060 6GB Dedicated,Windows 11,5.1,2499.0
Microsoft,"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i5 - 8GB Memory - 256GB SSD – Matte Black",12.3,1920 x 1080,8032,8.0,256 GB,gpu,Windows 10 Home,1.7,713.0
MSI,"MSI WS76 Workstation Laptop: 17.3"" 144Hz FHD 1080p, Intel Core i7-11800H, NVIDIA Quadro RTX A3000, 32GB, 1TB SSD, Thunderbolt 4, WiFi 6E, TPM2.0 Fingerprint, Win10 PRO, Black (11UK-470)",17.3,1920 x 1080,Core i7 Family,32.0,1 TB,NVIDIA Quadro RTX A3000,Win 10 PRO /Free upgrade to Win 11,6.49,1506.89
Dell,Dell Latitude E6400 Laptop - Windows Professional,14.1,1600X1400,Core 2 Duo P8700,4.0,300 GB,Integrated Intel Graphic,Windows 7,5.07,112.44
Lenovo,"Lenovo 2019 Newest IdeaPad 15.6"" HD High Performance Laptop PC | AMD A6-9225 Dual-Core 2.60 GHz| 4GB RAM | 500GB HDD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10",15.6,,AMD A Series,4.0,500 GB,AMD Radeon R4,Windows 10,2.6,899.99
Lenovo,"Lenovo Chromebook 3 11.6 inches HD Laptop, Intel Celeron N4020, 4GB RAM, 32GB eMMC, Chrome OS, Onyx Black (Renewed)",11.6,1366x768,Celeron N4020,4.0,32 GB,Intel,Chrome OS,2.66,98.98
Lenovo,"Lenovo 2023 ThinkPad P16 G1 Mobile Workstation 16"" WUQXGA Intel 16-Core i7-12800HX NVIDIA RTX A1000 Graphics 32GB DDR5 2TB SSD WiFi 6E HDMI Thunderbolt4 Backlit KB Fingerprint Windows 11 Pro w/RE USB",16,3840 x 2400,Core i7 Family,32.0,2 TB,NVIDIA RTX A1000 4GB Graphics,Windows 11 Pro,10.0,963.9260148199606
Lenovo,"Lenovo 3i Chromebook - 2023 - Everyday Notebook - Chrome OS - 15.6"" Full HD - 8GB Memory - 64GB Storage - Intel Celeron N4500 - Abyss Blue",15.6,1920x1080,Celeron P4500,8.0,64 GB,,Chrome OS,5.59,299.99
Acer,"Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i9-12900H | GeForce RTX 3080 Ti | 16"" WQXGA 240Hz G-SYNC Display | 32GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-99EL",16,2560 x 1600,Core i9,32.0,1 TB,,Windows 11 Home,5.29,2999.99
LG,"LG Gram Style 14Z90RS Thin and Lightweight Stylish Laptop,White",14,2880x1800,Intel Core i7,32.0,1 TB,,Windows 11 Home,2.2,1799.99
Dell,"2021 Newest Dell XPS 17 Laptop 9710, 17"" UHD+ Touch Display, Intel i7-11800H, GeForce RTX 3050, 32GB RAM, 1TB SSD, IR Camera, Backlit Keyboard, Fingerprint Reader, Wi-Fi 6, Thunderbolt, Win 10 Pro",17,3840 x 2400,Core I7 11800H,32.0,1 TB,NVIDIA GeForce RTX 3050,Windows 10,5.5,2299.0
ASUS,"ASUS VivoBook Pro 14"" OLED WQXGA 2880x1800 16:10 Laptop, Core i5-11300H, 8GB RAM, 256GB PCIe SSD, WiFi 6, Thunderbolt 4, Color Quiet Blue",14,1920x1080,Intel Core i5,8.0,256 GB,Intel Iris Xe Graphics,Windows 10 Home,5.0,549.0
Acer,"Acer 2022 High Performance Aspire 5 Laptop - 17.3"" FHD IPS - 11th Intel i7-1165G7 Iris Xe Graphics - 36GB DDR4-2TB SSD - WiFi 6 Bluetooth RJ-45 - Backlit KB with FP Reader - Win 10 Pro w/32GB USB",17.3,1920 x 1080,Core i7 Family,36.0,2 TB,Intel Iris Xe Graphics,Windows 10 Pro,8.0,1349.0
Lenovo,"Lenovo Yoga 9i 14 2-in-1 14"" Touchscreen Laptop 4K UHD (3840x2160) IPS 500Nits Intel Evo Platform Core i7-1185G7 Webcam Wi-Fi 6 USB-C Thunderbolt 4 Iris Xe Graphics 16GB 512GB PCIe SSD Pen",14,3840x2160,Core i7 Family,16.0,512 GB,Intel Iris Xe Graphics,Windows 10 Home,3.17,1299.0
ASUS,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” FHD Touch Display, AMD Ryzen 5 4500U, 8GB DDR4 RAM, 256GB SSD, Glossy, Stylus, Fingerprint Reader, Windows 10 Home, Bespoke Black, TM420IA-DB51T",14,1920 x 1080,Ryzen 5 4500U,8.0,256 GB,AMD Radeon Graphics,Windows 10 Home,3.3,628.0
Lenovo,"Lenovo IdeaPad Flex 5 2-in-1 Laptop, 16"" (1920 x 1200) 16:10 IPS Touchscreen, AMD Ryzen 7 5700U, Digital Pen, FHD Webcam, Fingerprint, Windows 11, w/Mouse Pad (16GB RAM | 1TB PCIe SSD)",16,1920x1200,AMD Ryzen 7 5700U,16.0,1 TB,AMD Radeon Graphics,Windows 11 Home,6.29,978.6
HP,"HP Omen 16 Laptop: Latest Gen Ryzen 7 6800H, RTX 3060, 16GB DDR5 RAM, 512GB SSD, 16.1"" 144Hz Full HD Display, Backlit Keyboard, Windows 11",16.1,1920 x 1080,AMD Ryzen 7,16.0,512 GB,NVIDIA GeForce RTX 3060,Windows 11 Home,6.0,1149.49
Dell,"Dell XPS 9370 Laptop, 13.3"" UHD (3840 x 2160) InfinityEdge Touch Display, 8th Gen Intel Core i7-8550U, 16GB RAM, 512 GB SSD, Windows 10, Silver",13.3,,Core i7 8550U,16.0,256 GB,Intel UHD Graphics 620,Windows 10,2.6,1499.81
HP,"HP Pavilion 15.6"" 1920x1080 Touchscreen Laptop | 12th Intel i7-1255U 10-Core Processor | NVIDIA GeForce MX550 | Backlit Key | USB-C | 16GB DDR4 512GB SSD | Win11 Home",15.6,1920 x 1080,Core i7 Family,16.0,512 GB,NVIDIA GeForce MX550 2GB GDDR6,Windows 11 Home,8.0,963.9260148199606
MSI,"MSI Summit E13 Flip Evo 13.4"" FHD+ 120hz Touch 2 in 1 Business Laptop: Intel Core i7-1260P Iris Xe 32GB LPDDR5 1TB NVMe SSD, 360-Degree Flip, Thunderbolt 4, MSI Pen, Win 11 Pro: Ink Black A12MT-013",13.4,2560 x 1600,Core i7,32.0,1 TB,Intel Iris Xe Graphics,Windows 10,3.74,1299.99
LG,"LG Gram (2022) 16Z90Q Ultra Lightweight Laptop, 16"" (2560 x 1600) IPS Display, Intel Evo 12th Gen i5 1240P Processor, 16GB LPDDR5, 512GB NVMe SSD, FHD Webcam, WiFi 6E, Thunderbolt 4, Windows 11, Gray",16,2560x1600,Core i5,16.0,512 GB,Intel Iris Xe Graphics,Windows 11 Home,2.64,899.99
MSI,"MSI Creator 17 Professional Laptop: 17.3"" UHD 120Hz 100% AdobeRGB Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3060, 16GB RAM, 512GB NVME SSD, Thunderbolt 4, Win10, Core Black (B11UE-471)",17.3,3840 x 2160,Core i7 Family,16.0,512 GB,NVIDIA GeForce RTX 3060,Windows 10 Home,5.4,1473.89
Acer,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",15.6,1920x1080,Core I3 1115G4,8.0,128 GB,Intel UHD Graphics,Windows 11 S,3.64,299.99
ASUS,"ASUS Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",14,1920x1080,Celeron N4020,4.0,128 GB,Intel UHD Graphics 600,Chrome OS,5.16,249.99
Acer,"Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 8GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P1Q5",14,1366x768,Pentium,8.0,128 GB,Intel UHD Graphics,Chrome OS,3.42,399.99
Lenovo,"2022 Lenovo IdeaPad 5i Laptop 15.6'' FHD IPS Touchscreen 12th Intel i7-1255U 10-Core Iris Xe Graphics 16GB DDR4 2TB SSD WiFi 6 Keyboard Windows 11 Pro w/ RATZK 32GB USB, Stormy Grey, (82SF001PUS)",15.6,1920 x 1080,Core i7 Family,16.0,2 TB,Intel Iris Xe Graphics,Windows 11 Pro,7.0,1299.0
HP,"HP [Windows 11 Home] Newest Laptop, 15.6'' Full HD Display, AMD Athlon Silver 3050U Processor, 8GB RAM, 256GB SSD, Media Card Reader, USB Type-C, HDMI, Webcam, Wi-Fi, Bluetooth, Silver",15.6,1920 x 1080,Athlon Silver 3050U,8.0,256 GB,AMD Radeon Graphics,Windows 11 Home,6.34,449.0
Lenovo,"Lenovo IdeaPad 1 14IGL05 81VU00D6US 14"" Notebook - HD - 1366 x 768 - Intel Pentium Silver N5030 Quad-core (4 Core) 1.10 GHz - 4 GB RAM - 128 GB SSD",14,1366 x 768,Unknown,4.0,128 GB,Intel UHD Graphics 605,Windows 10 Home,3.09,370.79
Lenovo,"Lenovo ThinkPad T16 Gen 1 21CH0004US 16"" Notebook - WUXGA - 1920 x 1200 - AMD Ryzen 5 PRO 6650U Hexa-core (6 Core) 2.90 GHz - 16 GB Total RAM - 256 GB SSD - Villi Black",16,1920 x 1200,Ryzen 5,16.0,256 GB,AMD Radeon Graphics,Windows 11 Pro,6.2,978.8
LG,"LG Gram 17” Lightweight Laptop, Intel 13th Gen Core i7 Evo Platform, Windows 11 Home, 32GB RAM, 2TB SSD, Gray",17,2560x1600,Intel Core i7,32.0,2 TB,Intel Iris,Windows 11 Home,3.2,2099.99
Acer,"Acer Chromebook 311 Laptop | AMD A-Series Dual-Core A4-9120C | 11.6"" HD Display | AMD Radeon R4 Graphics | 4GB DDR4 | 64GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-41M9",11.6,1366x768,AMD A4,4.0,64 GB,AMD Radeon R4,Chrome OS,2.87,155.5
Quality Refurbished Computers,"Dell Latitude E6520 Windows 7 Pro Laptop - i7 2.7GHz / 8GB / 1TB HDMI WiFi 15.6"" Notebook",15.6,,Core i7-2620QM,8.0,1 TB,Intel HD Graphics 3000,Windows 7 Professional,10.73,229.99
Lenovo,"Lenovo Legion 5 15.6"" FHD VR Ready Gaming Laptop, IPS, i7-10750H, USB-C, HDMI, WiFi 6, Webcam, Backlit Keyboard, Bluetooth, NVIDIA GeForce GTX 1660 Ti, Win 10, Black (16GB RAM | 1TB PCIe SSD)",15.6,1920 x 1080,Core i7 Family,16.0,1024 GB,NVIDIA GeForce GTX 1660Ti,Windows 10 Home,5.42,963.9260148199606
Acer,"2022 Acer Convertible 2-in-1 Chromebook-11.6"" IPS Touchscreen, ARM Cortex 6 Core Processor, 4GB DDR4 Memory, 32GB eMMC SSD, Webcam, Chrome OS (Renewed)",11.6,1366 x 768,Cortex,4.0,32 GB,ARM Mali,Chrome OS,3.52,173.99
SAMSUNG,"SAMSUNG Galaxy Book Pro 15.6"" Laptop Computer, Intel Evo Platform Intel 11th Gen Core i7-1165G7 Up to 4.7 GHz, 16GB RAM, 1TB PCIe SSD, Intel Iris Xe Graphics, Win 10, Mystic Blue w/Accessories",15.6,1920 x 1080,Intel Core i7-1165G7,16.0,1 TB,Intel Iris Xe Graphics,Windows 10 Home,2.31,1199.94
LG,"LG Gram (2022) 14T90Q 2-in-1 Tablet Laptop, 14"" (1920 x 1200) IPS Display, Intel Evo 12th Gen i7 1260P Processor, 8GB LPDDR5, 512GB NVMe SSD, HD Webcam, WiFi 6E, Thunderbolt 4, Windows 11, Black",14,1920 x 1200,Core i7,8.0,512 GB,Intel Iris Xe Graphics,Windows 11 Home,2.2,898.19
Dell,"Dell 2023 G15 15.6"" 120Hz FHD Gaming Laptop 14-Core Intel i7-12700H 32GB DDR5 1TB NVMe SSD NVIDIA GeForce RTX 3060 6GB GDDR6 Thunderbolt4 HDMI2.1 WiFi AX BT RJ-45 Backlit KB Webcam Windows 10 Home",15.6,1920x1080,Core i7 Family,32.0,1 TB,NVIDIA GeForce RTX 3060,Windows 10 Home,5.37,1591.59
Lenovo,"Lenovo 3i Chromebook - 2023 - Everyday Notebook - Chrome OS - 15.6"" Full HD - 8GB Memory - 64GB Storage - Intel Celeron N4500 - Abyss Blue",15.6,1920x1080,Celeron P4500,8.0,64 GB,,Chrome OS,5.59,299.99
MSI,"MSI Creator 17 Professional Laptop: 17.3"" UHD 120Hz 100% AdobeRGB Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3060, 16GB RAM, 512GB NVME SSD, Thunderbolt 4, Win10, Core Black (B11UE-471)",17.3,3840 x 2160,Core i7 Family,16.0,512 GB,NVIDIA GeForce RTX 3060,Windows 10 Home,5.4,1473.89
Alienware,"Alienware M15 R5 Gaming Laptop, 15.6 inch FHD 360Hz 1ms Display, AMD Ryzen R9 5900HX (Beats Core i7-11800H), 32GB DDR4 RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 3070, Windows 11, Dark Side of The Moon",15.6,1920 x 1080,Core I7 11800H,32.0,1 TB,Intel Iris Xe Graphics,Windows 10,3.93,1799.0
ASUS,ASUS 2022 R565EA VivoBook Laptop 15.6” FHD Touchscreen Intel 11th Gen Dual-Core i3-1115G4 20GB DDR4 RAM 1TB PCIe SSD HDMI WiFi AC BT Backlit Keyboard Fingerprint USB C Windows 11 Pro w/ RE USB Drive,15.6,1920 x 1080,Core i3 Family,20.0,1 TB,Intel UHD Graphics,Windows 11 Professional,3.97,963.9260148199606
MSI,"MSI GS66075 GS66 Stealth 15.6"" 300Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i7-10870H RTX3070 Max-Q 32GB 1TB NVMe SSD TB3 Win10PRO VR Ready",15.6,1920 x 1080,Core i7,32.0,32 GB,Nvidia RTX 3070 Max Q,Windows 10 Pro,4.63,949.99
HP,"HP ProBook 450 G9 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) 1.30 GHz - 8 GB Total RAM - 256 GB SSD - Silver",15.6,1920 x 1080,Core i5,8.0,256 GB,Intel Iris Xe Graphics,Windows 11 Pro,5.5,699.0
HP,"HP OMEN 17-inch Laptop, Intel Core i7-12700H, NVIDIA GeForce RTX 3060, 16 GB RAM, 512 GB SSD, Windows 11 Home (17-ck1010nr, Shadow Black Aluminum)",17.3,1920 x 1080,Core i7,16.0,512 GB,NVIDIA GeForce RTX 3060,Windows 11 Home,6.15,1498.99
Generic,"Acer - Chromebook Spin 514 Laptop - 14.0"" Full HD 2-in-1 Touchscreen - AMD Ryzen 3 5125C – 8GB – 128GB – WiFi 6- Silver",14,1920 x 1080,AMD R Series,8.0,128 GB,AMD RadeonTM Graphics 5000,Chrome OS,6.59,349.99
